ID de Unidad,Tipo,Cluster,Promessa de Entrega,Promessa,Altura,Comprimento,Largura,Peso,Volume,Valor,Rua,Número,Referências,Bairro,Cidade,Estado,CEP,Latitude,Longitude,Precisão,Tipo de Endereço,Status,Hora de Saída,Hora de Chegada,Facility de Origem,Facility,ID de Nodo,Tipo de Nodo,Vigencia Nodo,Exchange Point,Devolução,Tipo de unidad,Agenda,Group,Reverter,Ciclo,Cheapest,Ciclo ETA,Data ETA
46422059531,shipment,A6,24-02-2026 - 26-02-2026,24-02-2026 - 26-02-2026,2,24,18,0.100000,0.000864,,,,,Ipiranga,São Paulo,São Paulo,04216000,-23.590599,-46.598932,,residential,on_way,21 Feb 26 03:00,21 Feb 26 04:30,BRXSP1,SSP21,89585886,buyer,-,,,general_merchant,-,,Não,AM1,Não,AM1,21-02-2026
46437317114,shipment,A5,25-02-2026 - 27-02-2026,25-02-2026 - 27-02-2026,4,24,17,0.750000,0.001632,,,,,Indianópolis,São Paulo,São Paulo,04090010,-23.601612,-46.654164,,residential,on_way,21 Feb 26 03:00,21 Feb 26 04:30,BRXSP1,SSP21,227396834,buyer,-,,,general_merchant,-,,Não,AM1,Não,AM1,21-02-2026
46448315926,shipment,A6,12-02-2026 - 15-02-2026,12-02-2026 - 15-02-2026,5,29,22,0.700000,0.003190,,,,,Ipiranga,São Paulo,São Paulo,04216030,-23.596504,-46.597522,,business,at_station|sorting,14 Feb 26 02:58,14 Feb 26 04:58,BRSP02,SSP21,1725611879,buyer,-,,,general_merchant,-,,Sim,AM1,Não,AM1,14-02-2026
46449893843,shipment,A8,18-02-2026 - 18-02-2026,18-02-2026 - 18-02-2026,2,10,17,0.080000,0.000277,,,,,Vila Clementino,São Paulo,São Paulo,04025014,-23.604811,-46.647145,,business,at_station|sorting,15 Feb 26 02:56,15 Feb 26 04:30,BRXSP10,SSP21,141684937,buyer,-,BRNSP943,,general_merchant,-,,Não,AM1,Não,AM1,15-02-2026
46423866472,shipment,A8,10-02-2026 - 13-02-2026,10-02-2026 - 13-02-2026,8,20,18,0.520000,0.002880,,,,,Vila Clementino,São Paulo,São Paulo,04044000,-23.597743,-46.638654,,business,at_station|sorting,15 Feb 26 01:20,15 Feb 26 03:30,BRXSP9,SSP21,252362348,buyer,-,,,general_merchant,-,,Sim,AM1,Não,AM1,15-02-2026
46448309409,shipment,A3,18-02-2026 - 23-02-2026,18-02-2026 - 23-02-2026,12,26,30,1.500000,0.008826,,,,,Instituto de Física Teórica,São Paulo,São Paulo,01405900,-23.560069,-46.650900,,business,at_station|sorting,13 Feb 26 01:34,13 Feb 26 04:30,BRXSP1,SSP21,2962514191,buyer,-,,,general_merchant,-,,Sim,AM1,Não,AM1,13-02-2026
46430989613,shipment,A8,10-02-2026 - 13-02-2026,10-02-2026 - 13-02-2026,10,17,12,0.180000,0.002040,,,,,Vila Clementino,São Paulo,São Paulo,04044000,-23.597743,-46.638654,,business,at_station|sorting,14 Feb 26 01:16,14 Feb 26 04:30,BRXSP1,SSP21,252362348,buyer,-,,,general_merchant,-,,Sim,AM1,Não,AM1,14-02-2026
46452627264,shipment,A15,13-02-2026 - 13-02-2026,13-02-2026 - 13-02-2026,12,18,14,0.270000,0.003024,,,,,Mirandópolis,São Paulo,São Paulo,04052050,-23.609487,-46.639837,,business,at_station|sorting,13 Feb 26 01:34,13 Feb 26 04:30,BRXSP1,SSP21,168733531,buyer,-,BRNSP943,,general_merchant,-,,Não,AM1,Não,AM1,13-02-2026
46370465195,shipment,A5,14-02-2026 - 20-02-2026,14-02-2026 - 20-02-2026,3,21,12,0.140000,0.000756,,,,,Moema,São Paulo,São Paulo,04524002,-23.600783,-46.748472,,residential,at_station|sorting,15 Feb 26 01:20,15 Feb 26 03:20,BRXSP9,SSP21,1299789529,buyer,-,,,general_merchant,-,,Não,AM1,Sim,AM1,15-02-2026
46453874043,shipment,A6,26-02-2026 - 26-02-2026,26-02-2026 - 26-02-2026,4,19,11,0.160000,0.000836,,,,,Ipiranga,São Paulo,São Paulo,04216030,-23.596570,-46.597525,,business,at_station|sorting,21 Feb 26 01:24,21 Feb 26 03:24,BRXSP9,SSP21,2004307334,buyer,-,,,general_merchant,-,,Sim,AM1,Não,AM1,21-02-2026
